
Ó³ÏñÃû³Æ                       PID »á»°Ãû              »á»°#       ÄÚ´æÊ¹ÓÃ 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      2,012 K
Registry                       148 Services                   0     27,572 K
smss.exe                       612 Services                   0        348 K
csrss.exe                      848 Services                   0      1,320 K
wininit.exe                    940 Services                   0         16 K
csrss.exe                      948 Console                    1      3,132 K
services.exe                  1012 Services                   0      5,596 K
lsass.exe                      100 Services                   0     11,132 K
svchost.exe                   1092 Services                   0     13,136 K
fontdrvhost.exe               1120 Services                   0         16 K
svchost.exe                   1176 Services                   0     12,160 K
svchost.exe                   1228 Services                   0      2,668 K
winlogon.exe                  1280 Console                    1      1,544 K
fontdrvhost.exe               1344 Console                    1     29,404 K
dwm.exe                       1404 Console                    1     95,232 K
svchost.exe                   1496 Services                   0      2,528 K
svchost.exe                   1504 Services                   0      4,952 K
svchost.exe                   1512 Services                   0      2,140 K
svchost.exe                   1520 Services                   0      5,532 K
svchost.exe                   1660 Services                   0      2,164 K
svchost.exe                   1740 Services                   0        988 K
svchost.exe                   1748 Services                   0      1,004 K
svchost.exe                   1752 Services                   0      3,072 K
IntelCpHDCPSvc.exe            1768 Services                   0         ÔÝÈ±
svchost.exe                   1892 Services                   0      6,720 K
svchost.exe                   1972 Services                   0      3,680 K
svchost.exe                   1980 Services                   0      2,776 K
svchost.exe                    832 Services                   0      8,288 K
svchost.exe                   1172 Services                   0      1,436 K
svchost.exe                   2108 Services                   0      1,144 K
IntelCpHeciSvc.exe            2136 Services                   0         ÔÝÈ±
igfxCUIService.exe            2200 Services                   0         ÔÝÈ±
svchost.exe                   2308 Services                   0      4,120 K
svchost.exe                   2556 Services                   0      4,324 K
svchost.exe                   2612 Services                   0      3,472 K
svchost.exe                   2636 Services                   0      1,460 K
dasHost.exe                   2744 Services                   0      7,908 K
qmbsrv.exe                    2812 Services                   0         52 K
QQPCRTP.exe                   2820 Services                   0     24,684 K
svchost.exe                   2880 Services                   0        808 K
amdlogsr.exe                  2980 Services                   0         12 K
svchost.exe                   3032 Services                   0      3,888 K
svchost.exe                   2536 Services                   0      1,084 K
svchost.exe                   2464 Services                   0      6,772 K
svchost.exe                   1696 Services                   0      3,300 K
svchost.exe                   1672 Services                   0      4,340 K
Memory Compression            2900 Services                   0  1,129,668 K
svchost.exe                   3452 Services                   0      5,568 K
svchost.exe                   3476 Services                   0      6,844 K
svchost.exe                   3608 Services                   0      2,356 K
svchost.exe                   3612 Services                   0      3,376 K
svchost.exe                   3772 Services                   0     11,088 K
svchost.exe                   3808 Services                   0      5,892 K
dasHost.exe                   3844 Services                   0         12 K
svchost.exe                   3916 Services                   0      6,736 K
svchost.exe                   3972 Services                   0      2,044 K
spoolsv.exe                   4024 Services                   0     10,212 K
svchost.exe                   4072 Services                   0      2,320 K
svchost.exe                   4080 Services                   0        896 K
svchost.exe                   4216 Services                   0      2,412 K
ListaryService.exe            4284 Services                   0         20 K
svchost.exe                   4428 Services                   0      8,840 K
svchost.exe                   4436 Services                   0     10,784 K
svchost.exe                   4452 Services                   0     19,536 K
svchost.exe                   4460 Services                   0     22,764 K
svchost.exe                   4472 Services                   0        356 K
svchost.exe                   4480 Services                   0      3,624 K
svchost.exe                   4488 Services                   0      8,456 K
svchost.exe                   4496 Services                   0        996 K
OneApp.IGCC.WinService.ex     4516 Services                   0      3,580 K
RtkBtManServ.exe              4536 Services                   0         ÔÝÈ±
phpStudyServer.exe            4608 Services                   0         72 K
vmnetdhcp.exe                 4676 Services                   0        208 K
vmnat.exe                     4684 Services                   0        472 K
QQProtect.exe                 4704 Services                   0      6,008 K
vmware-authd.exe              4712 Services                   0      2,736 K
mongod.exe                    4740 Services                   0     15,644 K
AGSService.exe                4816 Services                   0         16 K
AGMService.exe                4824 Services                   0         16 K
svchost.exe                   4940 Services                   0        864 K
TeamViewer_Service.exe        5024 Services                   0        876 K
svchost.exe                   5132 Services                   0      3,052 K
svchost.exe                   5196 Services                   0      2,028 K
svchost.exe                   5276 Services                   0      1,876 K
